N,Test,Time_ms
1000,1,4.128
1000,2,1.326
1000,3,1.179
1000,4,1.212
1000,5,1.230
1000,6,1.209
1000,7,1.217
1000,8,1.104
1000,9,1.195
1000,10,1.167
1000,11,1.673
1000,12,1.233
1000,13,1.223
1000,14,1.396
1000,15,1.438
1000,16,1.828
1000,17,1.078
1000,18,1.179
1000,19,1.392
1000,20,1.313
2000,1,5.043
2000,2,5.269
2000,3,5.204
2000,4,5.502
2000,5,4.651
2000,6,4.955
2000,7,4.409
2000,8,4.783
2000,9,4.748
2000,10,6.090
2000,11,4.804
2000,12,5.938
2000,13,5.929
2000,14,5.991
2000,15,5.552
2000,16,5.970
2000,17,5.910
2000,18,5.923
2000,19,5.869
2000,20,4.802
4000,1,21.126
4000,2,21.366
4000,3,23.991
4000,4,25.946
4000,5,23.556
4000,6,22.055
4000,7,21.685
4000,8,20.559
4000,9,21.203
4000,10,22.536
4000,11,20.107
4000,12,21.419
4000,13,20.355
4000,14,24.309
4000,15,21.346
4000,16,24.830
4000,17,19.759
4000,18,20.112
4000,19,22.206
4000,20,18.885
8000,1,78.605
8000,2,79.152
8000,3,75.496
8000,4,74.207
8000,5,78.977
8000,6,70.292
8000,7,70.223
8000,8,72.858
8000,9,78.700
8000,10,69.487
8000,11,63.821
8000,12,64.769
8000,13,89.365
8000,14,68.553
8000,15,95.965
8000,16,67.417
8000,17,80.137
8000,18,114.808
8000,19,65.539
8000,20,66.395
16000,1,316.899
16000,2,352.765
16000,3,266.963
16000,4,348.868
16000,5,301.760
16000,6,300.463
16000,7,281.202
16000,8,265.124
16000,9,272.425
16000,10,251.051
16000,11,281.717
16000,12,262.802
16000,13,265.925
16000,14,319.171
16000,15,298.331
16000,16,263.154
16000,17,316.373
16000,18,262.874
16000,19,247.714
16000,20,249.781
32000,1,1062.710
32000,2,1225.390
32000,3,1177.234
32000,4,1167.823
32000,5,1350.309
32000,6,1263.949
32000,7,1178.113
32000,8,1205.015
32000,9,1340.388
32000,10,1457.755
32000,11,1193.329
32000,12,1098.464
32000,13,1229.914
32000,14,1760.404
32000,15,1260.555
32000,16,1379.649
32000,17,1510.199
32000,18,1834.385
32000,19,1643.815
32000,20,1521.373
64000,1,5796.516
64000,2,5931.941
64000,3,5911.742
64000,4,5204.804
64000,5,6558.107
64000,6,5479.181
64000,7,4881.308
64000,8,4767.597
64000,9,5733.328
64000,10,6365.061
64000,11,7082.588
64000,12,4853.169
64000,13,5573.347
64000,14,4854.743
64000,15,4597.181
64000,16,4444.014
64000,17,4707.539
64000,18,5427.061
64000,19,4734.940
64000,20,5459.374
128000,1,21993.921
128000,2,22078.005
128000,3,20872.577
128000,4,19458.718
128000,5,23422.977
128000,6,21560.889
128000,7,22384.107
128000,8,17685.684
128000,9,19492.588
128000,10,21219.661
128000,11,27365.972
128000,12,47198.878
128000,13,17968.111
128000,14,22655.277
128000,15,21041.194
128000,16,23033.647
128000,17,21568.475
128000,18,21702.198
128000,19,22477.402
128000,20,20950.074
