N,Test,Time_ms,Depth,Swaps,Calls
1000,1,7.982,1000,500499,1999
1000,2,2.018,1000,500499,1999
1000,3,2.503,1000,500499,1999
1000,4,2.194,1000,500499,1999
1000,5,10.584,1000,500499,1999
1000,6,2.271,1000,500499,1999
1000,7,2.207,1000,500499,1999
1000,8,2.303,1000,500499,1999
1000,9,2.250,1000,500499,1999
1000,10,2.204,1000,500499,1999
1000,11,2.408,1000,500499,1999
1000,12,2.206,1000,500499,1999
1000,13,2.203,1000,500499,1999
1000,14,2.258,1000,500499,1999
1000,15,2.218,1000,500499,1999
1000,16,2.213,1000,500499,1999
1000,17,2.586,1000,500499,1999
1000,18,2.205,1000,500499,1999
1000,19,2.376,1000,500499,1999
1000,20,2.230,1000,500499,1999
