N,Test,Time_ms,Depth,Swaps,Calls
1000,1,1.220,2,2501,3
1000,2,0.594,2,2501,3
1000,3,0.560,2,2501,3
1000,4,0.598,2,2501,3
1000,5,0.552,2,2501,3
1000,6,0.534,2,2501,3
1000,7,0.544,2,2501,3
1000,8,0.557,2,2501,3
1000,9,0.855,2,2501,3
1000,10,0.951,2,2501,3
1000,11,0.884,2,2501,3
1000,12,0.540,2,2501,3
1000,13,0.568,2,2501,3
1000,14,0.882,2,2501,3
1000,15,0.809,2,2501,3
1000,16,0.889,2,2501,3
1000,17,0.842,2,2501,3
1000,18,0.684,2,2501,3
1000,19,0.880,2,2501,3
1000,20,0.550,2,2501,3
2000,1,1.079,2,5001,3
2000,2,1.064,2,5001,3
2000,3,1.844,2,5001,3
2000,4,1.184,2,5001,3
2000,5,1.535,2,5001,3
2000,6,1.093,2,5001,3
2000,7,1.427,2,5001,3
2000,8,0.062,2,5001,3
2000,9,0.085,2,5001,3
2000,10,0.088,2,5001,3
2000,11,0.085,2,5001,3
2000,12,0.071,2,5001,3
2000,13,0.059,2,5001,3
2000,14,0.063,2,5001,3
2000,15,0.060,2,5001,3
2000,16,0.058,2,5001,3
2000,17,0.062,2,5001,3
2000,18,0.066,2,5001,3
2000,19,0.069,2,5001,3
2000,20,0.057,2,5001,3
4000,1,0.110,2,10001,3
4000,2,0.114,2,10001,3
4000,3,0.119,2,10001,3
4000,4,0.201,2,10001,3
4000,5,0.112,2,10001,3
4000,6,0.199,2,10001,3
4000,7,0.201,2,10001,3
4000,8,0.163,2,10001,3
4000,9,0.114,2,10001,3
4000,10,0.107,2,10001,3
4000,11,0.146,2,10001,3
4000,12,0.104,2,10001,3
4000,13,0.105,2,10001,3
4000,14,0.112,2,10001,3
4000,15,0.106,2,10001,3
4000,16,0.118,2,10001,3
4000,17,0.107,2,10001,3
4000,18,0.111,2,10001,3
4000,19,0.108,2,10001,3
4000,20,0.425,2,10001,3
8000,1,0.207,2,20001,3
8000,2,0.201,2,20001,3
8000,3,0.366,2,20001,3
8000,4,0.327,2,20001,3
8000,5,0.320,2,20001,3
8000,6,0.397,2,20001,3
8000,7,0.386,2,20001,3
8000,8,0.395,2,20001,3
8000,9,0.688,2,20001,3
8000,10,0.321,2,20001,3
8000,11,0.253,2,20001,3
8000,12,0.212,2,20001,3
8000,13,0.410,2,20001,3
8000,14,0.403,2,20001,3
8000,15,0.232,2,20001,3
8000,16,0.210,2,20001,3
8000,17,0.386,2,20001,3
8000,18,0.369,2,20001,3
8000,19,0.393,2,20001,3
8000,20,0.392,2,20001,3
16000,1,7.333,2,40001,3
16000,2,0.791,2,40001,3
16000,3,0.430,2,40001,3
16000,4,0.438,2,40001,3
16000,5,0.682,2,40001,3
16000,6,0.475,2,40001,3
16000,7,0.427,2,40001,3
16000,8,1.700,2,40001,3
16000,9,0.422,2,40001,3
16000,10,0.434,2,40001,3
16000,11,0.430,2,40001,3
16000,12,0.470,2,40001,3
16000,13,0.429,2,40001,3
16000,14,0.433,2,40001,3
16000,15,1.985,2,40001,3
16000,16,0.424,2,40001,3
16000,17,0.803,2,40001,3
16000,18,0.449,2,40001,3
16000,19,0.529,2,40001,3
16000,20,0.477,2,40001,3
32000,1,3.031,2,80001,3
32000,2,0.866,2,80001,3
32000,3,0.890,2,80001,3
32000,4,1.144,2,80001,3
32000,5,3.411,2,80001,3
32000,6,0.890,2,80001,3
32000,7,0.882,2,80001,3
32000,8,3.416,2,80001,3
32000,9,0.927,2,80001,3
32000,10,0.982,2,80001,3
32000,11,1.554,2,80001,3
32000,12,29.678,2,80001,3
32000,13,1.665,2,80001,3
32000,14,0.890,2,80001,3
32000,15,3.689,2,80001,3
32000,16,0.887,2,80001,3
32000,17,1.233,2,80001,3
32000,18,0.910,2,80001,3
32000,19,3.715,2,80001,3
32000,20,0.857,2,80001,3
64000,1,6.010,2,160001,3
64000,2,1.900,2,160001,3
64000,3,7.193,2,160001,3
64000,4,1.780,2,160001,3
64000,5,6.059,2,160001,3
64000,6,1.801,2,160001,3
64000,7,6.331,2,160001,3
64000,8,1.884,2,160001,3
64000,9,6.553,2,160001,3
64000,10,6.253,2,160001,3
64000,11,2.290,2,160001,3
64000,12,7.093,2,160001,3
64000,13,1.865,2,160001,3
64000,14,7.687,2,160001,3
64000,15,2.669,2,160001,3
64000,16,9.454,2,160001,3
64000,17,6.742,2,160001,3
64000,18,2.217,2,160001,3
64000,19,6.966,2,160001,3
64000,20,2.614,2,160001,3
128000,1,12.156,2,320001,3
128000,2,15.777,2,320001,3
128000,3,21.180,2,320001,3
128000,4,10.448,2,320001,3
128000,5,10.899,2,320001,3
128000,6,10.459,2,320001,3
128000,7,11.254,2,320001,3
128000,8,16.058,2,320001,3
128000,9,10.604,2,320001,3
128000,10,10.157,2,320001,3
128000,11,10.795,2,320001,3
128000,12,11.154,2,320001,3
128000,13,16.493,2,320001,3
128000,14,10.505,2,320001,3
128000,15,21.295,2,320001,3
128000,16,10.326,2,320001,3
128000,17,11.158,2,320001,3
128000,18,10.915,2,320001,3
128000,19,16.219,2,320001,3
128000,20,10.071,2,320001,3
