N,Test,Time_ms,Depth,Swaps,Calls
1000,1,0.800,8,127,255
1000,2,0.208,8,127,255
1000,3,0.249,8,127,255
1000,4,0.281,8,127,255
1000,5,0.233,8,127,255
1000,6,0.205,8,127,255
1000,7,0.224,8,127,255
1000,8,0.083,8,127,255
1000,9,0.082,8,127,255
1000,10,0.099,8,127,255
1000,11,0.106,8,127,255
1000,12,0.089,8,127,255
1000,13,0.080,8,127,255
1000,14,0.145,8,127,255
1000,15,0.080,8,127,255
1000,16,0.109,8,127,255
1000,17,0.085,8,127,255
1000,18,0.096,8,127,255
1000,19,0.091,8,127,255
1000,20,0.088,8,127,255
2000,1,0.171,9,255,511
2000,2,0.165,9,255,511
2000,3,0.162,9,255,511
2000,4,0.161,9,255,511
2000,5,0.161,9,255,511
2000,6,0.200,9,255,511
2000,7,0.208,9,255,511
2000,8,0.053,9,255,511
2000,9,0.054,9,255,511
2000,10,0.048,9,255,511
2000,11,0.052,9,255,511
2000,12,0.048,9,255,511
2000,13,0.051,9,255,511
2000,14,0.053,9,255,511
2000,15,0.046,9,255,511
2000,16,0.043,9,255,511
2000,17,0.051,9,255,511
2000,18,0.046,9,255,511
2000,19,0.051,9,255,511
2000,20,0.046,9,255,511
4000,1,0.103,10,511,1023
4000,2,0.124,10,511,1023
4000,3,0.114,10,511,1023
4000,4,0.107,10,511,1023
4000,5,0.113,10,511,1023
4000,6,0.120,10,511,1023
4000,7,0.164,10,511,1023
4000,8,0.107,10,511,1023
4000,9,0.093,10,511,1023
4000,10,0.108,10,511,1023
4000,11,0.092,10,511,1023
4000,12,0.095,10,511,1023
4000,13,0.113,10,511,1023
4000,14,0.097,10,511,1023
4000,15,0.100,10,511,1023
4000,16,0.143,10,511,1023
4000,17,0.114,10,511,1023
4000,18,0.113,10,511,1023
4000,19,0.094,10,511,1023
4000,20,0.113,10,511,1023
8000,1,0.299,11,1023,2047
8000,2,0.256,11,1023,2047
8000,3,0.219,11,1023,2047
8000,4,0.217,11,1023,2047
8000,5,0.239,11,1023,2047
8000,6,0.236,11,1023,2047
8000,7,0.228,11,1023,2047
8000,8,0.240,11,1023,2047
8000,9,0.207,11,1023,2047
8000,10,0.199,11,1023,2047
8000,11,0.233,11,1023,2047
8000,12,0.245,11,1023,2047
8000,13,0.201,11,1023,2047
8000,14,0.242,11,1023,2047
8000,15,0.200,11,1023,2047
8000,16,0.206,11,1023,2047
8000,17,0.226,11,1023,2047
8000,18,0.224,11,1023,2047
8000,19,0.199,11,1023,2047
8000,20,0.200,11,1023,2047
16000,1,0.427,12,2047,4095
16000,2,0.489,12,2047,4095
16000,3,0.498,12,2047,4095
16000,4,0.505,12,2047,4095
16000,5,0.430,12,2047,4095
16000,6,0.466,12,2047,4095
16000,7,0.486,12,2047,4095
16000,8,0.528,12,2047,4095
16000,9,0.510,12,2047,4095
16000,10,0.429,12,2047,4095
16000,11,0.738,12,2047,4095
16000,12,0.427,12,2047,4095
16000,13,0.440,12,2047,4095
16000,14,0.491,12,2047,4095
16000,15,0.504,12,2047,4095
16000,16,0.438,12,2047,4095
16000,17,0.427,12,2047,4095
16000,18,0.534,12,2047,4095
16000,19,0.621,12,2047,4095
16000,20,0.427,12,2047,4095
32000,1,0.913,13,4095,8191
32000,2,0.907,13,4095,8191
32000,3,1.127,13,4095,8191
32000,4,0.979,13,4095,8191
32000,5,1.130,13,4095,8191
32000,6,0.957,13,4095,8191
32000,7,1.038,13,4095,8191
32000,8,0.914,13,4095,8191
32000,9,1.005,13,4095,8191
32000,10,0.913,13,4095,8191
32000,11,0.913,13,4095,8191
32000,12,0.983,13,4095,8191
32000,13,1.089,13,4095,8191
32000,14,0.914,13,4095,8191
32000,15,0.908,13,4095,8191
32000,16,0.990,13,4095,8191
32000,17,1.142,13,4095,8191
32000,18,1.098,13,4095,8191
32000,19,1.136,13,4095,8191
32000,20,1.050,13,4095,8191
64000,1,2.328,14,8191,16383
64000,2,2.218,14,8191,16383
64000,3,2.044,14,8191,16383
64000,4,1.938,14,8191,16383
64000,5,2.411,14,8191,16383
64000,6,2.295,14,8191,16383
64000,7,2.426,14,8191,16383
64000,8,2.109,14,8191,16383
64000,9,2.627,14,8191,16383
64000,10,2.077,14,8191,16383
64000,11,2.520,14,8191,16383
64000,12,1.928,14,8191,16383
64000,13,2.413,14,8191,16383
64000,14,2.538,14,8191,16383
64000,15,1.972,14,8191,16383
64000,16,2.448,14,8191,16383
64000,17,1.934,14,8191,16383
64000,18,1.932,14,8191,16383
64000,19,1.930,14,8191,16383
64000,20,1.930,14,8191,16383
128000,1,4.090,15,16383,32767
128000,2,4.124,15,16383,32767
128000,3,4.096,15,16383,32767
128000,4,5.943,15,16383,32767
128000,5,4.093,15,16383,32767
128000,6,4.652,15,16383,32767
128000,7,4.131,15,16383,32767
128000,8,5.027,15,16383,32767
128000,9,4.142,15,16383,32767
128000,10,5.226,15,16383,32767
128000,11,4.855,15,16383,32767
128000,12,5.862,15,16383,32767
128000,13,4.262,15,16383,32767
128000,14,6.172,15,16383,32767
128000,15,4.093,15,16383,32767
128000,16,5.832,15,16383,32767
128000,17,4.655,15,16383,32767
128000,18,4.707,15,16383,32767
128000,19,4.241,15,16383,32767
128000,20,4.373,15,16383,32767
