N,Test,Time_ms,Depth,Swaps,Calls
1000,1,4.311,1000,999,1999
1000,2,1.469,1000,999,1999
1000,3,1.557,1000,999,1999
1000,4,1.599,1000,999,1999
1000,5,1.739,1000,999,1999
1000,6,1.554,1000,999,1999
1000,7,1.711,1000,999,1999
1000,8,0.562,1000,999,1999
1000,9,0.566,1000,999,1999
1000,10,0.555,1000,999,1999
1000,11,0.553,1000,999,1999
1000,12,0.575,1000,999,1999
1000,13,0.566,1000,999,1999
1000,14,0.570,1000,999,1999
1000,15,0.562,1000,999,1999
1000,16,0.566,1000,999,1999
1000,17,0.550,1000,999,1999
1000,18,0.549,1000,999,1999
1000,19,0.559,1000,999,1999
1000,20,0.555,1000,999,1999
