N,Test,Time_ms,Depth,Swaps,Calls
1000,1,2.726,23,2368,1999
1000,2,2.519,22,2339,1999
1000,3,0.303,21,2321,1999
1000,4,0.209,20,2322,1999
1000,5,0.271,24,2284,1999
1000,6,0.171,20,2336,1999
1000,7,0.146,26,2279,1999
1000,8,0.148,21,2351,1999
1000,9,0.153,20,2370,1999
1000,10,0.354,23,2347,1999
1000,11,0.145,21,2350,1999
1000,12,0.152,22,2310,1999
1000,13,0.146,24,2308,1999
1000,14,0.151,20,2361,1999
1000,15,0.147,23,2312,1999
1000,16,0.146,22,2366,1999
1000,17,0.144,23,2362,1999
1000,18,0.144,19,2330,1999
1000,19,0.145,24,2323,1999
1000,20,0.172,23,2335,1999
2000,1,0.459,23,5127,3999
2000,2,0.303,24,5158,3999
2000,3,0.307,22,5171,3999
2000,4,0.305,25,5173,3999
2000,5,0.325,26,5127,3999
2000,6,0.301,25,5143,3999
2000,7,0.339,25,5148,3999
2000,8,0.421,25,5143,3999
2000,9,0.422,22,5137,3999
2000,10,0.405,24,5069,3999
2000,11,0.337,23,5124,3999
2000,12,0.370,24,5083,3999
2000,13,0.511,25,5217,3999
2000,14,0.502,24,5245,3999
2000,15,0.410,23,5206,3999
2000,16,0.419,29,5150,3999
2000,17,0.393,25,5033,3999
2000,18,0.396,23,5159,3999
2000,19,0.353,25,5070,3999
2000,20,0.306,24,5160,3999
4000,1,0.793,26,11234,7999
4000,2,0.877,28,11101,7999
4000,3,1.196,33,11062,7999
4000,4,0.849,27,11050,7999
4000,5,0.819,31,11106,7999
4000,6,1.021,27,11269,7999
4000,7,0.690,27,10967,7999
4000,8,1.024,29,10940,7999
4000,9,1.143,27,11156,7999
4000,10,0.752,28,11185,7999
4000,11,0.661,30,11225,7999
4000,12,1.071,28,11200,7999
4000,13,0.638,27,11183,7999
4000,14,0.873,28,11225,7999
4000,15,1.165,28,11096,7999
4000,16,0.949,29,11001,7999
4000,17,0.640,32,11199,7999
4000,18,0.798,31,10939,7999
4000,19,0.634,28,11237,7999
4000,20,0.778,25,11150,7999
8000,1,1.774,29,24246,15999
8000,2,1.600,30,24179,15999
8000,3,1.492,33,24122,15999
8000,4,1.393,34,23736,15999
8000,5,1.702,30,24311,15999
8000,6,1.884,33,23589,15999
8000,7,1.358,35,23938,15999
8000,8,1.513,30,24107,15999
8000,9,1.598,33,24181,15999
8000,10,1.382,29,24020,15999
8000,11,1.375,29,24147,15999
8000,12,1.900,32,23711,15999
8000,13,3.648,30,23867,15999
8000,14,1.552,28,24490,15999
8000,15,1.574,28,24173,15999
8000,16,1.764,33,23714,15999
8000,17,2.188,29,24245,15999
8000,18,1.878,31,24211,15999
8000,19,1.966,29,24248,15999
8000,20,1.677,35,23850,15999
16000,1,3.584,37,51275,31999
16000,2,4.056,31,52394,31999
16000,3,3.666,37,51449,31999
16000,4,3.955,33,52350,31999
16000,5,4.479,33,51865,31999
16000,6,4.044,37,50933,31999
16000,7,4.228,39,51255,31999
16000,8,2.953,33,52010,31999
16000,9,4.567,31,52113,31999
16000,10,2.950,33,51761,31999
16000,11,3.831,34,51472,31999
16000,12,3.750,37,51039,31999
16000,13,2.996,34,51536,31999
16000,14,3.849,35,51388,31999
16000,15,4.256,32,52029,31999
16000,16,3.492,33,52053,31999
16000,17,3.048,36,51530,31999
16000,18,3.906,33,52252,31999
16000,19,3.988,34,51670,31999
16000,20,3.834,33,51681,31999
32000,1,7.881,40,111373,63999
32000,2,7.663,33,111628,63999
32000,3,6.985,35,111014,63999
32000,4,6.226,37,111463,63999
32000,5,8.353,36,112329,63999
32000,6,6.933,36,111821,63999
32000,7,6.580,34,112450,63999
32000,8,6.717,39,110192,63999
32000,9,6.483,34,111718,63999
32000,10,7.035,33,111202,63999
32000,11,6.636,36,111573,63999
32000,12,6.542,34,111705,63999
32000,13,7.605,38,110991,63999
32000,14,6.894,35,112640,63999
32000,15,7.621,38,110666,63999
32000,16,6.467,35,111862,63999
32000,17,6.614,37,109499,63999
32000,18,6.373,34,111684,63999
32000,19,6.571,39,110044,63999
32000,20,6.292,32,112205,63999
64000,1,14.064,40,238102,127999
64000,2,13.889,42,234239,127999
64000,3,15.386,38,237412,127999
64000,4,21.150,38,237395,127999
64000,5,14.989,41,237275,127999
64000,6,16.370,36,238360,127999
64000,7,15.725,39,235542,127999
64000,8,13.196,40,237080,127999
64000,9,14.071,39,237683,127999
64000,10,13.850,35,239009,127999
64000,11,12.987,42,237353,127999
64000,12,14.082,39,237578,127999
64000,13,14.727,40,237882,127999
64000,14,14.849,41,236121,127999
64000,15,17.680,42,237712,127999
64000,16,14.618,39,238349,127999
64000,17,16.173,36,239192,127999
64000,18,13.194,39,236683,127999
64000,19,13.521,39,239174,127999
64000,20,13.435,40,236886,127999
128000,1,30.092,40,506543,255999
128000,2,29.136,43,499669,255999
128000,3,28.705,41,507328,255999
128000,4,27.574,40,503077,255999
128000,5,28.756,41,505533,255999
128000,6,31.184,41,503319,255999
128000,7,28.843,42,504554,255999
128000,8,28.148,41,505680,255999
128000,9,29.293,43,504229,255999
128000,10,27.645,47,502422,255999
128000,11,29.078,43,505589,255999
128000,12,29.532,42,499633,255999
128000,13,28.734,39,504692,255999
128000,14,28.015,39,507425,255999
128000,15,27.518,40,504461,255999
128000,16,28.012,42,505510,255999
128000,17,41.680,41,507357,255999
128000,18,73.105,41,501239,255999
128000,19,30.430,43,501762,255999
128000,20,27.949,45,501451,255999
