Граф,Вершины,Ребра,Начало,Конец,BFS_время_мс,DFS_время_мс,BFS_путь_найден,DFS_путь_найден,BFS_длина_пути,DFS_длина_пути
1,50,150,35,23,0.098130,0.053220,true,true,3,9
2,100,300,52,41,0.202440,0.047400,true,true,3,14
3,150,450,42,142,0.119610,0.148690,true,true,3,8
4,200,600,110,148,0.089420,0.040540,true,true,3,32
5,250,750,89,161,0.102860,0.201720,true,true,2,6
6,300,900,205,187,0.152080,0.095350,true,true,3,38
7,350,1050,158,48,0.110750,0.041810,true,true,3,52
8,400,1200,377,96,0.149430,0.132160,true,true,2,50
9,450,1350,235,101,0.134400,0.336210,true,true,3,18
10,500,1500,8,146,0.135320,0.206910,true,true,3,57
