Size,DataType,Structure,Test,Time_us
1024,random,BST,1,2.817
1024,random,AVL,1,1.962
1024,sorted,BST,1,4.211
1024,sorted,AVL,1,0.308
1024,random,BST,2,0.680
1024,random,AVL,2,0.951
1024,sorted,BST,2,4.186
1024,sorted,AVL,2,0.310
1024,random,BST,3,0.259
1024,random,AVL,3,0.547
1024,sorted,BST,3,4.177
1024,sorted,AVL,3,0.322
1024,random,BST,4,0.475
1024,random,AVL,4,0.477
1024,sorted,BST,4,4.229
1024,sorted,AVL,4,0.478
1024,random,BST,5,0.248
1024,random,AVL,5,0.453
1024,sorted,BST,5,4.916
1024,sorted,AVL,5,1.338
1024,random,BST,6,0.320
1024,random,AVL,6,0.326
1024,sorted,BST,6,3.298
1024,sorted,AVL,6,0.320
1024,random,BST,7,0.254
1024,random,AVL,7,0.347
1024,sorted,BST,7,5.521
1024,sorted,AVL,7,0.528
1024,random,BST,8,0.229
1024,random,AVL,8,0.345
1024,sorted,BST,8,4.608
1024,sorted,AVL,8,0.796
1024,random,BST,9,0.234
1024,random,AVL,9,0.333
1024,sorted,BST,9,4.812
1024,sorted,AVL,9,0.483
1024,random,BST,10,0.238
1024,random,AVL,10,0.342
1024,sorted,BST,10,4.820
1024,sorted,AVL,10,0.326
2048,random,BST,1,0.276
2048,random,AVL,1,0.374
2048,sorted,BST,1,13.366
2048,sorted,AVL,1,0.810
2048,random,BST,2,0.259
2048,random,AVL,2,0.849
2048,sorted,BST,2,8.607
2048,sorted,AVL,2,0.347
2048,random,BST,3,0.399
2048,random,AVL,3,0.841
2048,sorted,BST,3,8.603
2048,sorted,AVL,3,0.368
2048,random,BST,4,0.266
2048,random,AVL,4,0.370
2048,sorted,BST,4,8.736
2048,sorted,AVL,4,0.357
2048,random,BST,5,0.392
2048,random,AVL,5,0.423
2048,sorted,BST,5,9.190
2048,sorted,AVL,5,0.353
2048,random,BST,6,0.286
2048,random,AVL,6,0.395
2048,sorted,BST,6,11.284
2048,sorted,AVL,6,0.344
2048,random,BST,7,0.255
2048,random,AVL,7,0.389
2048,sorted,BST,7,8.918
2048,sorted,AVL,7,0.331
2048,random,BST,8,0.364
2048,random,AVL,8,0.475
2048,sorted,BST,8,8.549
2048,sorted,AVL,8,0.335
2048,random,BST,9,0.381
2048,random,AVL,9,0.641
2048,sorted,BST,9,14.749
2048,sorted,AVL,9,0.374
2048,random,BST,10,0.269
2048,random,AVL,10,0.486
2048,sorted,BST,10,10.536
2048,sorted,AVL,10,0.333
4096,random,BST,1,0.297
4096,random,AVL,1,0.666
4096,sorted,BST,1,18.205
4096,sorted,AVL,1,0.402
4096,random,BST,2,0.325
4096,random,AVL,2,0.413
4096,sorted,BST,2,18.917
4096,sorted,AVL,2,0.370
4096,random,BST,3,0.313
4096,random,AVL,3,0.438
4096,sorted,BST,3,18.805
4096,sorted,AVL,3,0.386
4096,random,BST,4,0.331
4096,random,AVL,4,0.431
4096,sorted,BST,4,19.567
4096,sorted,AVL,4,0.398
4096,random,BST,5,0.869
4096,random,AVL,5,0.488
4096,sorted,BST,5,44.107
4096,sorted,AVL,5,0.568
4096,random,BST,6,0.325
4096,random,AVL,6,1.000
4096,sorted,BST,6,30.606
4096,sorted,AVL,6,0.478
4096,random,BST,7,0.434
4096,random,AVL,7,0.671
4096,sorted,BST,7,19.566
4096,sorted,AVL,7,0.444
4096,random,BST,8,0.282
