Size,DataType,Structure,Test,Time_ms
1024,random,BST,1,1.903
1024,random,AVL,1,3.161
1024,sorted,BST,1,9.510
1024,sorted,AVL,1,0.327
1024,random,BST,2,1.006
1024,random,AVL,2,1.191
1024,sorted,BST,2,5.031
1024,sorted,AVL,2,0.297
1024,random,BST,3,0.440
1024,random,AVL,3,1.286
1024,sorted,BST,3,6.389
1024,sorted,AVL,3,0.298
1024,random,BST,4,0.390
1024,random,AVL,4,0.622
1024,sorted,BST,4,4.698
1024,sorted,AVL,4,0.318
1024,random,BST,5,0.629
1024,random,AVL,5,0.549
1024,sorted,BST,5,6.504
1024,sorted,AVL,5,0.304
1024,random,BST,6,0.398
1024,random,AVL,6,0.507
1024,sorted,BST,6,4.256
1024,sorted,AVL,6,0.302
1024,random,BST,7,0.288
1024,random,AVL,7,0.540
1024,sorted,BST,7,4.365
1024,sorted,AVL,7,0.297
1024,random,BST,8,0.372
1024,random,AVL,8,0.530
1024,sorted,BST,8,4.556
1024,sorted,AVL,8,0.316
1024,random,BST,9,0.325
1024,random,AVL,9,0.520
1024,sorted,BST,9,4.492
1024,sorted,AVL,9,0.384
1024,random,BST,10,0.342
1024,random,AVL,10,0.522
1024,sorted,BST,10,4.451
1024,sorted,AVL,10,0.514
2048,random,BST,1,0.483
2048,random,AVL,1,0.702
2048,sorted,BST,1,22.350
2048,sorted,AVL,1,0.810
2048,random,BST,2,0.564
2048,random,AVL,2,0.718
2048,sorted,BST,2,19.637
2048,sorted,AVL,2,0.650
2048,random,BST,3,0.466
2048,random,AVL,3,0.718
2048,sorted,BST,3,18.161
2048,sorted,AVL,3,0.654
2048,random,BST,4,0.470
2048,random,AVL,4,0.702
2048,sorted,BST,4,18.701
2048,sorted,AVL,4,0.645
2048,random,BST,5,0.699
2048,random,AVL,5,0.726
2048,sorted,BST,5,18.860
2048,sorted,AVL,5,0.709
2048,random,BST,6,0.700
2048,random,AVL,6,0.744
2048,sorted,BST,6,18.090
2048,sorted,AVL,6,0.635
2048,random,BST,7,0.483
2048,random,AVL,7,0.708
2048,sorted,BST,7,17.788
2048,sorted,AVL,7,0.629
2048,random,BST,8,0.474
2048,random,AVL,8,0.865
2048,sorted,BST,8,18.077
2048,sorted,AVL,8,0.644
2048,random,BST,9,0.580
2048,random,AVL,9,1.028
2048,sorted,BST,9,22.410
2048,sorted,AVL,9,0.677
2048,random,BST,10,0.453
2048,random,AVL,10,0.761
2048,sorted,BST,10,21.423
2048,sorted,AVL,10,0.642
4096,random,BST,1,1.067
4096,random,AVL,1,1.630
4096,sorted,BST,1,82.404
4096,sorted,AVL,1,1.971
4096,random,BST,2,1.048
4096,random,AVL,2,2.115
4096,sorted,BST,2,81.900
4096,sorted,AVL,2,1.350
4096,random,BST,3,1.060
4096,random,AVL,3,1.628
4096,sorted,BST,3,76.193
4096,sorted,AVL,3,1.511
4096,random,BST,4,1.372
4096,random,AVL,4,1.555
4096,sorted,BST,4,84.813
4096,sorted,AVL,4,1.858
4096,random,BST,5,1.031
4096,random,AVL,5,2.199
4096,sorted,BST,5,87.934
4096,sorted,AVL,5,1.365
4096,random,BST,6,1.067
4096,random,AVL,6,1.538
4096,sorted,BST,6,80.088
4096,sorted,AVL,6,1.387
4096,random,BST,7,1.410
4096,random,AVL,7,1.554
4096,sorted,BST,7,74.455
4096,sorted,AVL,7,2.366
4096,random,BST,8,1.023
4096,random,AVL,8,2.046
4096,sorted,BST,8,118.809
4096,sorted,AVL,8,1.399
4096,random,BST,9,1.030
4096,random,AVL,9,1.564
4096,sorted,BST,9,92.253
4096,sorted,AVL,9,1.513
4096,random,BST,10,1.550
4096,random,AVL,10,1.606
4096,sorted,BST,10,96.136
4096,sorted,AVL,10,1.887
8192,random,BST,1,2.716
8192,random,AVL,1,3.995
8192,sorted,BST,1,445.720
8192,sorted,AVL,1,2.576
8192,random,BST,2,2.463
8192,random,AVL,2,3.733
8192,sorted,BST,2,779.680
8192,sorted,AVL,2,2.854
8192,random,BST,3,3.362
8192,random,AVL,3,4.607
8192,sorted,BST,3,506.871
8192,sorted,AVL,3,4.537
8192,random,BST,4,2.381
8192,random,AVL,4,3.368
8192,sorted,BST,4,896.642
8192,sorted,AVL,4,3.039
8192,random,BST,5,2.461
8192,random,AVL,5,3.424
8192,sorted,BST,5,739.570
8192,sorted,AVL,5,4.989
8192,random,BST,6,2.642
8192,random,AVL,6,3.496
8192,sorted,BST,6,445.856
8192,sorted,AVL,6,3.764
8192,random,BST,7,3.068
8192,random,AVL,7,3.859
8192,sorted,BST,7,614.886
8192,sorted,AVL,7,5.410
8192,random,BST,8,2.550
8192,random,AVL,8,3.607
8192,sorted,BST,8,722.250
8192,sorted,AVL,8,2.876
8192,random,BST,9,2.104
8192,random,AVL,9,3.287
8192,sorted,BST,9,794.880
8192,sorted,AVL,9,3.030
8192,random,BST,10,2.686
8192,random,AVL,10,3.105
8192,sorted,BST,10,523.294
8192,sorted,AVL,10,2.514
16384,random,BST,1,4.862
16384,random,AVL,1,8.680
16384,sorted,AVL,1,5.401
16384,random,BST,2,5.679
16384,random,AVL,2,10.129
16384,sorted,AVL,2,7.018
16384,random,BST,3,5.547
16384,random,AVL,3,9.450
16384,sorted,AVL,3,6.051
16384,random,BST,4,6.359
16384,random,AVL,4,8.617
16384,sorted,AVL,4,6.164
16384,random,BST,5,6.748
16384,random,AVL,5,9.505
16384,sorted,AVL,5,6.464
16384,random,BST,6,5.781
16384,random,AVL,6,13.023
16384,sorted,AVL,6,8.842
16384,random,BST,7,8.028
16384,random,AVL,7,9.283
16384,sorted,AVL,7,6.040
16384,random,BST,8,6.375
16384,random,AVL,8,7.723
16384,sorted,AVL,8,6.097
16384,random,BST,9,6.434
16384,random,AVL,9,8.733
16384,sorted,AVL,9,6.066
16384,random,BST,10,5.494
16384,random,AVL,10,8.299
16384,sorted,AVL,10,7.125
32768,random,BST,1,14.323
32768,random,AVL,1,19.126
32768,sorted,AVL,1,12.610
32768,random,BST,2,14.410
32768,random,AVL,2,19.206
32768,sorted,AVL,2,13.762
32768,random,BST,3,12.117
32768,random,AVL,3,18.206
32768,sorted,AVL,3,14.496
32768,random,BST,4,13.562
32768,random,AVL,4,22.396
32768,sorted,AVL,4,36.049
32768,random,BST,5,23.688
32768,random,AVL,5,27.421
32768,sorted,AVL,5,34.533
32768,random,BST,6,12.950
32768,random,AVL,6,16.698
32768,sorted,AVL,6,40.758
32768,random,BST,7,12.343
32768,random,AVL,7,16.550
32768,sorted,AVL,7,54.417
32768,random,BST,8,12.221
32768,random,AVL,8,33.192
32768,sorted,AVL,8,22.026
32768,random,BST,9,16.688
32768,random,AVL,9,31.263
32768,sorted,AVL,9,14.265
32768,random,BST,10,11.952
32768,random,AVL,10,16.583
32768,sorted,AVL,10,12.755
65536,random,BST,1,34.663
65536,random,AVL,1,44.566
65536,sorted,AVL,1,115.088
65536,random,BST,2,47.993
