Size,DataType,Structure,Test,Time_us
1024,random,BST,1,1.141
1024,random,AVL,1,1.109
1024,random,Array,1,2.890
1024,sorted,BST,1,7.815
1024,sorted,AVL,1,0.191
1024,sorted,Array,1,0.930
1024,random,BST,2,1.268
1024,random,AVL,2,0.977
1024,random,Array,2,0.812
1024,sorted,BST,2,7.658
1024,sorted,AVL,2,0.444
1024,sorted,Array,2,0.207
1024,random,BST,3,0.280
1024,random,AVL,3,0.353
1024,random,Array,3,0.991
1024,sorted,BST,3,7.465
1024,sorted,AVL,3,0.193
1024,sorted,Array,3,0.206
1024,random,BST,4,0.302
1024,random,AVL,4,0.380
1024,random,Array,4,0.812
1024,sorted,BST,4,7.833
1024,sorted,AVL,4,0.230
1024,sorted,Array,4,0.219
1024,random,BST,5,0.220
1024,random,AVL,5,0.192
1024,random,Array,5,0.895
1024,sorted,BST,5,7.226
1024,sorted,AVL,5,0.250
1024,sorted,Array,5,0.194
1024,random,BST,6,0.350
1024,random,AVL,6,0.193
1024,random,Array,6,0.795
1024,sorted,BST,6,4.065
1024,sorted,AVL,6,0.181
1024,sorted,Array,6,0.208
1024,random,BST,7,0.212
1024,random,AVL,7,0.192
1024,random,Array,7,0.786
1024,sorted,BST,7,5.817
1024,sorted,AVL,7,0.298
1024,sorted,Array,7,0.254
1024,random,BST,8,0.216
1024,random,AVL,8,0.196
1024,random,Array,8,0.789
1024,sorted,BST,8,5.995
1024,sorted,AVL,8,0.293
1024,sorted,Array,8,0.247
1024,random,BST,9,0.209
1024,random,AVL,9,0.390
1024,random,Array,9,0.772
1024,sorted,BST,9,5.805
1024,sorted,AVL,9,0.266
1024,sorted,Array,9,0.255
1024,random,BST,10,0.228
1024,random,AVL,10,0.190
1024,random,Array,10,0.800
1024,sorted,BST,10,5.623
1024,sorted,AVL,10,0.347
1024,sorted,Array,10,0.208
2048,random,BST,1,0.242
2048,random,AVL,1,0.541
2048,random,Array,1,1.538
2048,sorted,BST,1,9.516
2048,sorted,AVL,1,0.264
2048,sorted,Array,1,0.234
2048,random,BST,2,0.249
2048,random,AVL,2,0.221
2048,random,Array,2,1.659
2048,sorted,BST,2,8.339
2048,sorted,AVL,2,0.209
2048,sorted,Array,2,0.229
2048,random,BST,3,0.356
2048,random,AVL,3,0.228
2048,random,Array,3,1.532
2048,sorted,BST,3,9.358
2048,sorted,AVL,3,0.231
2048,sorted,Array,3,0.236
2048,random,BST,4,0.247
2048,random,AVL,4,0.215
2048,random,Array,4,1.917
2048,sorted,BST,4,9.440
2048,sorted,AVL,4,0.209
2048,sorted,Array,4,0.227
2048,random,BST,5,0.244
2048,random,AVL,5,0.222
2048,random,Array,5,1.663
2048,sorted,BST,5,10.333
2048,sorted,AVL,5,0.205
2048,sorted,Array,5,0.240
2048,random,BST,6,0.347
2048,random,AVL,6,0.216
2048,random,Array,6,1.561
2048,sorted,BST,6,8.649
2048,sorted,AVL,6,0.216
2048,sorted,Array,6,0.230
2048,random,BST,7,0.259
2048,random,AVL,7,0.227
2048,random,Array,7,1.596
2048,sorted,BST,7,7.969
2048,sorted,AVL,7,0.198
2048,sorted,Array,7,0.222
2048,random,BST,8,0.363
2048,random,AVL,8,0.280
2048,random,Array,8,1.560
2048,sorted,BST,8,8.359
2048,sorted,AVL,8,0.199
2048,sorted,Array,8,0.231
2048,random,BST,9,0.315
2048,random,AVL,9,0.229
2048,random,Array,9,1.523
2048,sorted,BST,9,8.882
2048,sorted,AVL,9,0.205
2048,sorted,Array,9,0.227
2048,random,BST,10,0.238
2048,random,AVL,10,0.276
2048,random,Array,10,1.503
2048,sorted,BST,10,8.457
2048,sorted,AVL,10,0.207
2048,sorted,Array,10,0.228
4096,random,BST,1,0.275
4096,random,AVL,1,0.349
4096,random,Array,1,3.103
4096,sorted,BST,1,16.154
4096,sorted,AVL,1,0.235
4096,sorted,Array,1,0.251
4096,random,BST,2,0.268
4096,random,AVL,2,0.246
4096,random,Array,2,3.032
4096,sorted,BST,2,17.107
4096,sorted,AVL,2,0.238
4096,sorted,Array,2,0.256
4096,random,BST,3,0.277
4096,random,AVL,3,0.259
4096,random,Array,3,2.996
4096,sorted,BST,3,20.563
4096,sorted,AVL,3,0.314
4096,sorted,Array,3,0.252
4096,random,BST,4,0.304
4096,random,AVL,4,0.244
4096,random,Array,4,3.005
4096,sorted,BST,4,20.416
4096,sorted,AVL,4,0.243
4096,sorted,Array,4,0.251
4096,random,BST,5,0.365
4096,random,AVL,5,0.381
4096,random,Array,5,3.152
4096,sorted,BST,5,31.892
4096,sorted,AVL,5,0.378
4096,sorted,Array,5,0.310
4096,random,BST,6,0.270
4096,random,AVL,6,0.236
4096,random,Array,6,3.026
4096,sorted,BST,6,20.927
4096,sorted,AVL,6,0.311
4096,sorted,Array,6,0.270
4096,random,BST,7,0.315
4096,random,AVL,7,0.375
4096,random,Array,7,3.251
4096,sorted,BST,7,23.817
4096,sorted,AVL,7,0.267
4096,sorted,Array,7,0.260
4096,random,BST,8,0.257
4096,random,AVL,8,0.240
4096,random,Array,8,3.088
4096,sorted,BST,8,17.859
4096,sorted,AVL,8,0.871
4096,sorted,Array,8,0.295
4096,random,BST,9,0.290
4096,random,AVL,9,0.241
4096,random,Array,9,3.064
4096,sorted,BST,9,23.388
4096,sorted,AVL,9,0.302
4096,sorted,Array,9,0.272
4096,random,BST,10,0.283
4096,random,AVL,10,0.242
4096,random,Array,10,3.225
4096,sorted,BST,10,17.322
4096,sorted,AVL,10,0.296
4096,sorted,Array,10,0.251
8192,random,BST,1,0.285
8192,random,AVL,1,0.278
8192,random,Array,1,7.905
8192,sorted,BST,1,60.327
8192,sorted,AVL,1,0.558
8192,sorted,Array,1,0.461
8192,random,BST,2,0.356
8192,random,AVL,2,0.262
8192,random,Array,2,6.138
8192,sorted,BST,2,74.629
8192,sorted,AVL,2,0.245
8192,sorted,Array,2,0.287
8192,random,BST,3,0.632
8192,random,AVL,3,0.315
8192,random,Array,3,6.219
8192,sorted,BST,3,57.645
8192,sorted,AVL,3,0.279
8192,sorted,Array,3,0.285
8192,random,BST,4,0.303
8192,random,AVL,4,0.562
8192,random,Array,4,6.109
8192,sorted,BST,4,82.327
8192,sorted,AVL,4,0.271
8192,sorted,Array,4,0.251
8192,random,BST,5,0.353
8192,random,AVL,5,0.283
8192,random,Array,5,6.710
8192,sorted,BST,5,201.945
8192,sorted,AVL,5,0.371
8192,sorted,Array,5,0.388
8192,random,BST,6,0.309
8192,random,AVL,6,0.289
8192,random,Array,6,6.095
8192,sorted,BST,6,68.751
8192,sorted,AVL,6,0.261
8192,sorted,Array,6,0.244
8192,random,BST,7,0.404
8192,random,AVL,7,0.291
8192,random,Array,7,6.124
8192,sorted,BST,7,47.309
8192,sorted,AVL,7,0.248
8192,sorted,Array,7,0.247
8192,random,BST,8,0.330
8192,random,AVL,8,0.323
8192,random,Array,8,6.033
8192,sorted,BST,8,72.984
8192,sorted,AVL,8,0.296
8192,sorted,Array,8,0.301
8192,random,BST,9,0.339
8192,random,AVL,9,0.273
8192,random,Array,9,6.842
8192,sorted,BST,9,59.037
8192,sorted,AVL,9,0.436
8192,sorted,Array,9,0.333
8192,random,BST,10,0.354
8192,random,AVL,10,0.286
8192,random,Array,10,6.392
8192,sorted,BST,10,45.019
8192,sorted,AVL,10,0.248
8192,sorted,Array,10,0.249
16384,random,BST,1,0.372
16384,random,AVL,1,0.350
16384,random,Array,1,15.454
16384,sorted,AVL,1,0.511
16384,sorted,Array,1,0.422
16384,random,BST,2,0.449
16384,random,AVL,2,0.343
16384,random,Array,2,12.286
16384,sorted,AVL,2,0.445
16384,sorted,Array,2,0.351
16384,random,BST,3,0.498
16384,random,AVL,3,0.326
16384,random,Array,3,12.273
16384,sorted,AVL,3,0.472
16384,sorted,Array,3,0.356
16384,random,BST,4,0.418
16384,random,AVL,4,0.454
16384,random,Array,4,14.200
16384,sorted,AVL,4,0.461
16384,sorted,Array,4,0.307
16384,random,BST,5,0.403
16384,random,AVL,5,0.331
16384,random,Array,5,11.918
16384,sorted,AVL,5,0.585
16384,sorted,Array,5,0.471
16384,random,BST,6,0.634
16384,random,AVL,6,0.515
16384,random,Array,6,12.424
16384,sorted,AVL,6,0.419
16384,sorted,Array,6,0.389
16384,random,BST,7,0.391
16384,random,AVL,7,0.494
16384,random,Array,7,12.116
16384,sorted,AVL,7,0.519
16384,sorted,Array,7,0.397
16384,random,BST,8,0.468
16384,random,AVL,8,0.402
