Size,Repetition,AVL_Time_us,Treap_Time_us
1024,1,2.610,2.875
1024,2,1.230,2.275
1024,3,0.521,2.758
1024,4,0.360,1.279
1024,5,0.683,0.661
1024,6,0.358,1.469
1024,7,0.364,2.144
1024,8,0.365,1.387
1024,9,0.373,0.671
1024,10,0.403,0.674
1024,11,0.362,0.715
1024,12,0.713,0.742
1024,13,0.373,0.755
1024,14,0.353,0.683
1024,15,0.377,1.230
1024,16,0.383,1.360
1024,17,0.369,1.098
1024,18,0.375,0.695
1024,19,0.372,0.819
1024,20,0.365,0.729
1024,21,0.365,0.680
1024,22,0.361,0.738
1024,23,0.804,0.808
1024,24,0.374,2.452
1024,25,0.358,1.181
1024,26,0.511,2.720
1024,27,0.431,3.166
1024,28,1.105,0.739
1024,29,0.374,0.741
1024,30,0.378,0.637
1024,31,0.376,0.716
1024,32,0.362,0.790
1024,33,0.376,0.675
1024,34,0.713,0.718
1024,35,0.390,0.693
1024,36,0.380,0.713
1024,37,0.372,1.165
1024,38,0.376,0.693
1024,39,0.368,1.086
1024,40,0.361,0.680
1024,41,0.431,0.872
1024,42,0.374,0.755
1024,43,0.385,0.701
1024,44,0.358,0.785
1024,45,0.371,0.765
1024,46,0.361,0.760
1024,47,0.365,0.684
1024,48,0.376,1.136
1024,49,0.363,0.745
1024,50,0.352,1.295
2048,1,0.431,1.004
2048,2,0.413,0.865
2048,3,0.362,0.724
2048,4,0.369,1.205
2048,5,0.361,0.754
2048,6,0.452,0.775
2048,7,0.341,1.239
2048,8,0.348,0.731
2048,9,0.343,1.735
2048,10,0.607,1.497
2048,11,0.368,0.792
2048,12,0.345,0.787
2048,13,0.373,1.671
2048,14,0.355,0.822
2048,15,0.353,0.791
2048,16,0.371,1.124
2048,17,0.359,0.709
2048,18,0.368,0.834
2048,19,0.345,1.250
2048,20,0.361,0.785
2048,21,0.642,1.359
2048,22,0.349,0.657
2048,23,0.368,0.811
2048,24,0.350,0.830
2048,25,0.368,0.675
2048,26,0.356,0.752
2048,27,0.373,0.730
2048,28,0.462,0.721
2048,29,0.373,0.740
2048,30,0.362,0.726
2048,31,0.483,2.790
2048,32,0.668,4.553
2048,33,0.372,1.074
2048,34,0.358,4.289
2048,35,0.735,4.734
2048,36,0.558,1.250
2048,37,0.563,1.133
2048,38,0.534,0.742
2048,39,0.334,0.791
2048,40,0.354,0.765
2048,41,0.575,0.812
2048,42,0.358,0.798
2048,43,0.371,0.785
2048,44,0.346,0.764
2048,45,0.341,0.799
2048,46,0.339,0.765
2048,47,0.371,1.216
2048,48,0.363,0.797
2048,49,0.354,0.860
2048,50,0.361,0.889
4096,1,0.430,0.874
4096,2,0.541,1.702
4096,3,0.451,0.939
4096,4,0.480,0.810
4096,5,0.436,0.877
4096,6,0.431,0.866
4096,7,0.442,0.971
4096,8,0.437,0.913
4096,9,0.466,3.058
4096,10,0.462,0.914
4096,11,0.544,0.799
4096,12,1.304,2.116
4096,13,0.445,0.847
4096,14,0.464,1.547
4096,15,0.546,0.907
4096,16,0.442,0.916
4096,17,0.429,0.994
4096,18,0.475,1.684
4096,19,0.465,1.180
4096,20,0.436,1.068
4096,21,0.447,1.443
4096,22,0.573,1.190
4096,23,0.487,0.962
4096,24,0.389,0.864
4096,25,0.398,0.931
4096,26,0.393,0.863
4096,27,0.408,0.870
4096,28,0.385,0.876
4096,29,0.384,1.237
4096,30,0.401,0.859
4096,31,0.411,0.918
4096,32,0.392,0.875
4096,33,0.705,0.867
4096,34,0.418,0.993
4096,35,0.377,0.913
4096,36,0.389,0.910
4096,37,0.418,0.899
4096,38,0.399,0.853
4096,39,0.397,0.922
4096,40,0.386,0.865
4096,41,0.417,0.827
4096,42,0.384,0.857
4096,43,0.405,0.914
4096,44,0.378,0.909
4096,45,0.595,0.873
4096,46,0.417,0.850
4096,47,0.384,1.060
4096,48,0.380,1.005
4096,49,0.397,0.908
4096,50,0.401,0.877
8192,1,1.685,1.120
8192,2,0.520,1.001
8192,3,0.554,1.042
8192,4,0.510,0.951
8192,5,0.501,1.101
8192,6,0.528,1.187
8192,7,1.095,1.024
8192,8,0.587,0.921
