Depth,AVL_Frequency,Treap_Frequency
6,0,2
7,0,25
8,0,92
9,0,345
10,0,948
11,0,2498
12,0,5860
13,1,12479
14,213,23877
15,12228,42512
16,179304,68781
17,916726,104605
18,1776755,148961
19,1250022,200378
20,276945,252790
21,13022,301923
22,13,341707
23,0,366838
24,0,375276
25,0,365972
26,0,342721
27,0,306391
28,0,264811
29,0,218877
30,0,175616
31,0,135478
32,0,101166
33,0,73093
34,0,51094
35,0,34203
36,0,22608
37,0,14500
38,0,9008
39,0,5398
40,0,3183
41,0,1632
42,0,861
43,0,432
44,0,216
45,0,104
46,0,54
47,0,10
48,0,4
49,0,2
