Size,Repetition,AVL_Time_ms,Treap_Time_ms
1024,1,0.002823,0.002664
1024,2,0.002078,0.001150
1024,3,0.000470,0.002400
1024,4,0.000326,0.000639
1024,5,0.000331,0.000917
1024,6,0.000338,0.001096
1024,7,0.000341,0.002290
1024,8,0.000323,0.002931
1024,9,0.000347,0.001103
1024,10,0.000386,0.001034
1024,11,0.000340,0.000622
1024,12,0.000329,0.000674
1024,13,0.000357,0.000672
1024,14,0.000686,0.000619
1024,15,0.000339,0.000667
1024,16,0.000343,0.000824
1024,17,0.000353,0.000652
1024,18,0.000353,0.001112
1024,19,0.000332,0.001095
1024,20,0.000417,0.000663
1024,21,0.000347,0.000618
1024,22,0.000338,0.000661
1024,23,0.000337,0.000925
1024,24,0.000375,0.000633
1024,25,0.000320,0.000634
1024,26,0.000540,0.002104
1024,27,0.000345,0.001039
1024,28,0.000820,0.002905
1024,29,0.000352,0.000657
1024,30,0.000341,0.000617
1024,31,0.000362,0.000645
1024,32,0.000341,0.000637
1024,33,0.000341,0.000650
1024,34,0.000321,0.000651
1024,35,0.000363,0.000661
1024,36,0.000333,0.000643
1024,37,0.000327,0.000654
1024,38,0.000331,0.000614
1024,39,0.000323,0.000670
1024,40,0.000327,0.000657
1024,41,0.000363,0.001379
1024,42,0.000336,0.001031
1024,43,0.000332,0.000655
1024,44,0.000334,0.000667
1024,45,0.000335,0.000739
1024,46,0.000330,0.000812
1024,47,0.000331,0.000649
1024,48,0.000343,0.000659
1024,49,0.000328,0.000676
1024,50,0.000339,0.000948
2048,1,0.000481,0.000953
2048,2,0.000385,0.001269
2048,3,0.000419,0.001103
2048,4,0.000342,0.000681
2048,5,0.000336,0.000650
2048,6,0.000335,0.000686
2048,7,0.000338,0.000680
2048,8,0.000336,0.000653
2048,9,0.000336,0.000929
2048,10,0.000421,0.000812
2048,11,0.000324,0.000719
2048,12,0.000322,0.000698
2048,13,0.000326,0.000709
2048,14,0.000343,0.000676
2048,15,0.000399,0.000666
2048,16,0.000341,0.000641
2048,17,0.000340,0.000646
2048,18,0.000344,0.000793
2048,19,0.000334,0.000714
2048,20,0.000347,0.000729
2048,21,0.000348,0.000654
2048,22,0.000448,0.001161
2048,23,0.000330,0.000673
2048,24,0.000326,0.000671
2048,25,0.000389,0.001094
2048,26,0.000331,0.000718
2048,27,0.000341,0.000658
2048,28,0.000446,0.001064
2048,29,0.000335,0.000675
2048,30,0.000352,0.000683
2048,31,0.000341,0.001089
2048,32,0.000471,0.002719
2048,33,0.000341,0.000849
2048,34,0.000320,0.003341
2048,35,0.000752,0.002151
2048,36,0.000539,0.001031
2048,37,0.000504,0.001071
2048,38,0.000516,0.000654
2048,39,0.000322,0.000701
2048,40,0.000349,0.000660
2048,41,0.000352,0.000751
2048,42,0.000871,0.000652
2048,43,0.000342,0.000720
2048,44,0.000397,0.000687
2048,45,0.000322,0.000705
2048,46,0.000326,0.000688
2048,47,0.000348,0.000763
2048,48,0.000337,0.000704
2048,49,0.000346,0.000723
2048,50,0.000360,0.000800
4096,1,0.000400,0.000822
4096,2,0.000407,0.000842
4096,3,0.000426,0.000847
4096,4,0.000422,0.000800
4096,5,0.000421,0.000906
4096,6,0.000416,0.000820
4096,7,0.000419,0.000956
4096,8,0.000403,0.000853
4096,9,0.000435,0.000872
4096,10,0.000513,0.000833
4096,11,0.000448,0.001992
4096,12,0.001107,0.002127
4096,13,0.000412,0.000803
4096,14,0.000412,0.001198
4096,15,0.000449,0.000794
4096,16,0.000399,0.000833
4096,17,0.001299,0.000833
4096,18,0.000414,0.000829
4096,19,0.000426,0.000857
4096,20,0.000484,0.002405
4096,21,0.000426,0.001279
4096,22,0.000532,0.000803
4096,23,0.000417,0.000871
4096,24,0.000374,0.000747
4096,25,0.000380,0.000811
4096,26,0.000386,0.000778
4096,27,0.000367,0.000747
4096,28,0.000366,0.000785
4096,29,0.000361,0.001254
4096,30,0.000373,0.000741
4096,31,0.000391,0.000853
4096,32,0.000367,0.000771
4096,33,0.000635,0.000763
4096,34,0.000400,0.000798
4096,35,0.000378,0.000777
4096,36,0.000357,0.001082
4096,37,0.000363,0.000781
4096,38,0.000369,0.000754
4096,39,0.000390,0.000779
4096,40,0.000365,0.000774
4096,41,0.000394,0.000754
4096,42,0.000370,0.000740
4096,43,0.000370,0.000907
4096,44,0.000367,0.000822
4096,45,0.000371,0.000807
4096,46,0.000384,0.000764
4096,47,0.000358,0.000845
4096,48,0.000372,0.000848
4096,49,0.000383,0.001700
4096,50,0.000456,0.000806
8192,1,0.000493,0.001275
8192,2,0.000738,0.000902
8192,3,0.000462,0.000866
8192,4,0.000486,0.000797
8192,5,0.000467,0.000911
8192,6,0.000468,0.001072
8192,7,0.000473,0.000835
8192,8,0.000459,0.000850
8192,9,0.000561,0.000874
8192,10,0.000679,0.000911
8192,11,0.000567,0.000905
8192,12,0.000477,0.001955
8192,13,0.000482,0.002310
8192,14,0.000678,0.002807
8192,15,0.000427,0.001234
8192,16,0.000412,0.000932
8192,17,0.000407,0.000990
8192,18,0.000430,0.001140
8192,19,0.000415,0.000944
8192,20,0.000494,0.000820
8192,21,0.000413,0.000818
8192,22,0.000411,0.000778
8192,23,0.000417,0.001904
