Size,Repetition,AVL_Time_us,Treap_Time_us
1024,1,1.615,0.942
1024,2,0.213,0.229
1024,3,0.394,0.170
1024,4,0.202,0.163
1024,5,0.181,0.165
1024,6,0.207,0.162
1024,7,0.205,0.163
1024,8,0.770,0.166
1024,9,0.200,0.174
1024,10,0.201,0.176
1024,11,0.191,0.181
1024,12,0.230,0.184
1024,13,0.570,0.188
1024,14,0.186,0.190
1024,15,0.184,0.195
1024,16,0.187,0.167
1024,17,0.195,0.164
1024,18,0.205,0.163
1024,19,0.201,0.172
1024,20,0.191,0.179
1024,21,0.187,0.184
1024,22,0.236,0.192
1024,23,0.192,0.213
1024,24,0.180,0.160
1024,25,0.191,0.249
1024,26,0.309,0.167
1024,27,0.271,0.393
1024,28,0.361,0.173
1024,29,0.190,0.192
1024,30,0.188,0.173
1024,31,0.186,0.191
1024,32,0.192,0.183
1024,33,0.233,0.185
1024,34,0.180,0.188
1024,35,0.196,0.188
1024,36,0.186,0.188
1024,37,0.236,0.156
1024,38,0.200,0.192
1024,39,0.193,0.160
1024,40,0.203,0.181
1024,41,0.232,0.199
1024,42,0.186,0.198
1024,43,0.190,0.178
1024,44,0.186,0.196
1024,45,0.193,0.192
1024,46,0.198,0.191
1024,47,0.188,0.186
1024,48,0.185,0.171
1024,49,0.185,0.199
1024,50,0.181,0.169
2048,1,0.229,0.346
2048,2,0.956,0.253
2048,3,0.173,0.167
2048,4,0.175,0.147
2048,5,0.187,0.190
2048,6,0.209,0.170
2048,7,0.177,0.145
2048,8,0.169,0.195
2048,9,0.178,0.326
2048,10,0.192,0.147
2048,11,0.181,0.192
2048,12,0.179,0.191
2048,13,0.182,0.149
2048,14,0.176,0.187
2048,15,0.169,0.194
2048,16,0.184,0.154
2048,17,0.186,0.186
2048,18,0.188,0.205
2048,19,0.183,0.155
2048,20,0.171,0.196
2048,21,0.178,0.397
2048,22,0.178,0.156
2048,23,0.169,0.205
2048,24,0.172,0.197
2048,25,0.179,0.163
2048,26,0.182,0.211
2048,27,0.183,0.193
2048,28,0.176,0.165
2048,29,0.182,0.201
2048,30,0.173,0.189
2048,31,0.175,0.208
2048,32,0.467,0.256
2048,33,0.174,0.206
2048,34,0.171,0.265
2048,35,0.647,0.211
2048,36,0.258,0.275
2048,37,0.254,0.269
2048,38,0.337,0.218
2048,39,0.172,0.198
2048,40,0.173,0.198
2048,41,0.184,0.197
2048,42,0.170,0.199
2048,43,0.170,0.203
2048,44,0.171,0.195
2048,45,0.174,0.193
2048,46,0.177,0.188
2048,47,0.177,0.292
2048,48,0.793,0.205
2048,49,0.177,0.196
2048,50,0.189,0.196
4096,1,0.231,0.276
4096,2,0.431,0.225
4096,3,0.259,0.351
4096,4,0.266,0.232
4096,5,0.266,0.417
4096,6,0.251,0.256
4096,7,0.246,0.307
4096,8,0.256,0.284
4096,9,0.237,0.288
4096,10,0.239,0.279
4096,11,0.361,0.230
4096,12,0.676,0.469
4096,13,0.262,0.243
4096,14,0.326,0.542
4096,15,0.238,0.276
4096,16,0.234,0.302
4096,17,0.230,0.378
4096,18,0.250,0.208
4096,19,0.247,0.498
4096,20,0.240,0.221
4096,21,0.262,0.374
4096,22,0.250,0.247
4096,23,0.390,0.291
4096,24,0.195,0.219
4096,25,0.199,0.250
4096,26,0.208,0.229
4096,27,0.207,0.243
4096,28,0.194,0.237
4096,29,0.205,0.245
4096,30,0.195,0.232
4096,31,0.197,0.251
4096,32,0.192,0.237
4096,33,0.288,0.236
4096,34,0.205,0.243
4096,35,0.192,0.251
