Size,Repetition,AVL_Time_us,Treap_Time_us
1024,1,2.128,2.186
1024,2,0.475,1.605
1024,3,0.491,2.226
1024,4,0.373,1.088
1024,5,0.379,1.170
1024,6,0.362,1.498
1024,7,0.385,1.259
1024,8,0.474,0.706
1024,9,0.409,0.681
1024,10,0.637,1.064
1024,11,0.478,0.791
1024,12,0.937,1.136
1024,13,0.386,1.726
1024,14,0.424,1.237
1024,15,0.393,1.183
1024,16,0.516,1.138
1024,17,0.376,0.673
1024,18,0.376,0.697
1024,19,0.374,0.700
1024,20,0.473,1.218
1024,21,0.633,0.724
1024,22,0.369,0.743
1024,23,0.459,2.114
1024,24,0.476,1.217
1024,25,0.479,1.622
1024,26,0.555,1.772
1024,27,0.506,1.024
1024,28,0.563,0.751
1024,29,0.351,0.743
1024,30,0.408,1.495
1024,31,0.390,0.789
1024,32,0.344,1.136
1024,33,0.361,0.755
1024,34,0.375,1.452
1024,35,0.395,0.725
1024,36,0.401,1.009
1024,37,0.591,1.080
1024,38,0.616,0.756
1024,39,0.402,0.757
1024,40,0.443,0.860
1024,41,0.477,1.019
1024,42,0.866,1.123
1024,43,0.370,0.739
1024,44,0.367,0.718
1024,45,0.390,1.236
1024,46,0.380,0.675
1024,47,0.373,1.378
1024,48,0.371,0.721
1024,49,0.387,0.688
1024,50,0.775,0.752
2048,1,0.659,1.046
2048,2,0.998,0.756
2048,3,0.537,1.114
2048,4,0.517,1.170
2048,5,0.491,0.941
2048,6,0.550,2.023
2048,7,0.420,0.799
2048,8,0.351,0.767
2048,9,0.359,1.287
2048,10,0.423,0.769
2048,11,0.378,0.792
2048,12,0.350,1.372
2048,13,0.353,0.845
2048,14,0.376,0.821
2048,15,0.383,0.677
2048,16,0.358,0.964
2048,17,0.823,0.743
2048,18,0.376,0.694
2048,19,0.362,0.753
2048,20,0.357,0.791
2048,21,0.365,0.696
2048,22,0.353,0.768
2048,23,0.366,0.761
2048,24,0.346,0.710
2048,25,0.361,0.822
2048,26,0.351,0.819
2048,27,0.365,0.679
2048,28,0.363,0.926
2048,29,0.431,1.387
2048,30,0.522,0.718
2048,31,0.402,0.783
2048,32,0.432,1.536
2048,33,0.445,0.665
2048,34,0.356,0.778
2048,35,0.356,0.759
2048,36,0.370,0.704
2048,37,0.365,0.854
2048,38,0.401,0.787
2048,39,0.375,0.709
2048,40,0.374,0.782
2048,41,0.444,0.838
2048,42,0.371,0.753
2048,43,0.360,0.898
2048,44,0.352,1.478
2048,45,0.352,0.670
2048,46,0.386,0.780
2048,47,0.386,0.837
2048,48,0.364,0.801
2048,49,0.379,0.818
2048,50,0.385,0.813
4096,1,0.442,0.877
4096,2,0.445,0.931
4096,3,0.443,0.955
4096,4,0.463,1.888
4096,5,0.467,0.900
4096,6,0.433,1.012
4096,7,0.462,0.913
4096,8,0.461,1.328
4096,9,0.442,0.954
4096,10,0.661,1.407
4096,11,0.779,1.967
4096,12,0.687,1.450
4096,13,0.444,0.875
4096,14,0.461,0.904
4096,15,0.520,0.812
4096,16,0.450,1.474
4096,17,0.689,0.935
4096,18,0.489,1.060
4096,19,0.420,0.999
4096,20,0.454,1.918
4096,21,0.485,2.458
4096,22,0.395,0.786
4096,23,0.440,1.086
4096,24,0.413,0.832
4096,25,0.386,1.250
4096,26,0.648,1.160
4096,27,0.444,0.943
4096,28,0.398,0.816
4096,29,0.392,0.893
4096,30,0.399,0.853
4096,31,0.414,1.077
4096,32,0.450,0.848
4096,33,0.407,0.893
4096,34,0.430,1.095
4096,35,0.464,0.925
4096,36,0.411,1.177
4096,37,0.393,0.847
4096,38,0.410,1.699
4096,39,0.409,0.962
4096,40,0.416,1.346
4096,41,0.407,1.627
4096,42,0.517,0.978
4096,43,0.398,1.051
4096,44,0.389,0.947
4096,45,0.410,1.601
4096,46,1.285,0.938
4096,47,0.402,1.093
4096,48,0.392,0.961
4096,49,0.397,1.281
4096,50,0.409,0.935
8192,1,0.566,0.978
8192,2,0.542,0.957
8192,3,0.695,0.927
8192,4,0.543,0.941
8192,5,0.670,0.987
8192,6,0.748,1.191
8192,7,1.069,0.927
8192,8,0.603,0.852
8192,9,0.571,0.897
8192,10,0.594,0.920
8192,11,0.625,0.896
8192,12,0.697,1.683
8192,13,0.480,0.979
8192,14,0.488,1.549
8192,15,1.519,1.005
8192,16,0.709,1.029
8192,17,0.811,1.178
8192,18,0.461,0.986
8192,19,0.646,0.903
8192,20,1.249,0.999
8192,21,0.494,1.771
8192,22,0.480,1.029
8192,23,0.417,1.012
8192,24,0.464,1.025
8192,25,0.468,0.958
8192,26,0.457,0.952
8192,27,0.449,1.650
8192,28,0.453,0.878
8192,29,0.449,2.104
8192,30,0.462,1.057
8192,31,0.459,1.148
8192,32,0.662,1.088
8192,33,0.479,1.226
8192,34,0.440,0.981
8192,35,0.456,1.076
8192,36,0.471,0.949
8192,37,0.557,3.392
8192,38,0.526,3.327
8192,39,0.463,1.176
8192,40,0.477,1.284
8192,41,0.563,1.164
8192,42,0.466,1.037
8192,43,0.467,0.948
8192,44,0.457,0.914
8192,45,0.442,0.976
8192,46,0.458,0.919
8192,47,0.464,2.506
8192,48,0.431,2.264
8192,49,0.496,1.086
8192,50,0.443,1.102
16384,1,0.579,1.099
16384,2,0.582,1.253
16384,3,0.579,1.318
16384,4,0.579,3.778
16384,5,0.572,1.566
16384,6,0.544,1.125
16384,7,0.527,1.141
16384,8,0.745,1.202
16384,9,0.519,1.118
16384,10,0.538,1.066
16384,11,0.581,1.197
16384,12,0.532,1.164
16384,13,0.495,1.954
16384,14,1.179,3.010
16384,15,1.963,1.372
16384,16,0.593,1.318
16384,17,0.562,1.155
16384,18,0.530,1.110
16384,19,0.480,1.532
16384,20,0.552,1.139
16384,21,0.617,1.231
16384,22,0.487,1.067
16384,23,0.519,1.209
16384,24,0.532,1.052
16384,25,0.440,1.092
16384,26,0.792,1.179
16384,27,0.535,1.457
16384,28,1.372,1.101
16384,29,0.622,2.014
16384,30,0.663,1.086
16384,31,0.527,1.489
16384,32,0.503,1.233
16384,33,0.521,1.236
16384,34,0.757,1.307
16384,35,0.522,1.174
16384,36,1.464,2.746
16384,37,0.885,1.591
16384,38,2.011,1.443
16384,39,0.717,2.712
16384,40,0.830,1.119
16384,41,0.692,1.210
16384,42,0.531,1.200
16384,43,0.548,1.294
16384,44,0.624,1.146
16384,45,0.621,1.919
16384,46,1.107,1.180
16384,47,0.574,1.065
16384,48,0.593,1.507
16384,49,1.782,1.793
16384,50,1.304,1.849
32768,1,2.250,1.605
32768,2,0.734,2.781
32768,3,2.475,1.536
32768,4,0.658,1.600
32768,5,0.605,1.625
32768,6,0.646,1.590
32768,7,0.562,1.808
32768,8,0.603,1.553
32768,9,0.644,1.810
32768,10,1.298,1.706
32768,11,0.698,2.344
32768,12,0.597,1.576
32768,13,1.180,2.116
32768,14,1.003,2.210
32768,15,0.592,3.290
32768,16,0.694,2.024
32768,17,0.647,1.627
32768,18,0.631,2.781
32768,19,0.607,1.589
32768,20,0.679,1.569
32768,21,0.581,1.810
32768,22,0.672,1.555
32768,23,0.643,2.987
32768,24,0.650,1.620
32768,25,0.625,1.617
32768,26,0.571,1.495
32768,27,0.649,1.609
32768,28,0.624,4.110
32768,29,0.676,2.116
32768,30,0.654,1.728
32768,31,1.376,1.572
32768,32,0.716,1.670
32768,33,0.648,2.761
32768,34,0.635,2.828
32768,35,0.594,2.890
32768,36,0.970,1.667
32768,37,0.803,1.688
32768,38,0.838,3.980
32768,39,0.610,1.524
32768,40,0.633,4.930
32768,41,0.577,1.516
32768,42,0.612,1.661
32768,43,0.623,2.088
32768,44,1.772,2.980
32768,45,0.621,1.699
32768,46,3.624,1.889
32768,47,0.587,1.568
32768,48,0.837,1.985
32768,49,0.530,5.562
32768,50,0.609,1.657
65536,1,0.641,1.653
65536,2,0.665,1.867
65536,3,1.843,1.665
65536,4,0.934,9.035
65536,5,0.807,2.428
65536,6,0.969,6.387
65536,7,2.744,1.603
65536,8,1.056,2.191
65536,9,1.026,2.510
65536,10,2.938,1.940
65536,11,0.789,1.976
65536,12,0.801,4.351
65536,13,4.137,2.004
65536,14,0.662,1.797
65536,15,2.895,9.564
65536,16,0.845,2.525
65536,17,0.940,13.714
65536,18,7.102,3.904
65536,19,2.366,2.241
65536,20,4.995,3.794
65536,21,3.247,3.981
65536,22,1.911,22.581
65536,23,5.759,2.241
65536,24,0.967,2.023
65536,25,4.251,1.762
65536,26,1.607,2.179
65536,27,0.812,2.042
65536,28,1.005,5.614
65536,29,3.704,4.115
65536,30,0.813,2.078
65536,31,0.862,28.797
65536,32,2.481,1.800
65536,33,1.472,10.940
65536,34,11.183,2.483
65536,35,0.996,3.415
65536,36,1.012,2.223
65536,37,0.740,2.093
65536,38,2.179,2.900
65536,39,0.648,2.665
65536,40,0.830,2.041
65536,41,0.845,1.838
65536,42,0.962,11.926
65536,43,0.688,1.668
65536,44,0.662,2.043
65536,45,3.222,1.929
65536,46,0.717,1.741
65536,47,0.783,10.999
65536,48,2.729,1.773
65536,49,0.649,3.886
65536,50,1.522,1.650
131072,1,2.441,2.078
131072,2,0.986,5.255
131072,3,6.156,7.519
131072,4,1.380,13.612
131072,5,0.826,14.079
131072,6,3.913,2.171
131072,7,4.419,4.424
131072,8,1.083,2.281
131072,9,1.711,2.137
131072,10,0.842,2.023
131072,11,0.861,11.647
131072,12,1.586,31.813
131072,13,0.811,4.307
131072,14,1.913,5.826
131072,15,1.499,2.025
131072,16,1.199,11.403
131072,17,1.055,9.701
131072,18,0.949,5.281
131072,19,1.016,2.109
131072,20,0.959,2.329
131072,21,1.294,2.532
131072,22,2.079,3.270
131072,23,0.971,4.223
131072,24,2.597,4.309
131072,25,1.163,13.164
131072,26,2.319,2.132
131072,27,1.745,2.083
131072,28,4.441,4.380
131072,29,1.001,5.441
131072,30,0.848,2.295
131072,31,0.885,2.297
131072,32,0.823,2.902
131072,33,0.994,21.261
131072,34,0.847,2.011
131072,35,5.158,2.049
131072,36,6.990,2.027
131072,37,3.130,2.044
131072,38,0.836,7.208
131072,39,0.779,15.435
131072,40,4.172,12.671
131072,41,2.670,5.199
131072,42,2.622,2.622
131072,43,1.009,1.826
131072,44,0.948,1.795
131072,45,1.958,1.921
131072,46,1.256,1.918
131072,47,2.877,2.573
131072,48,1.567,2.079
131072,49,1.435,2.107
131072,50,0.781,2.407
262144,1,1.002,2.719
262144,2,1.021,15.271
262144,3,1.810,2.461
262144,4,2.304,2.475
262144,5,3.131,2.793
262144,6,1.163,4.167
262144,7,2.327,6.775
262144,8,2.724,4.902
262144,9,1.199,2.851
262144,10,1.968,3.111
262144,11,2.564,4.159
262144,12,1.648,4.902
262144,13,2.560,7.066
262144,14,1.505,5.135
262144,15,0.940,2.600
262144,16,1.734,2.868
262144,17,1.070,7.916
262144,18,1.087,3.551
262144,19,1.117,14.911
262144,20,3.929,2.877
262144,21,2.821,2.880
262144,22,1.477,3.290
262144,23,1.634,13.735
262144,24,1.207,3.378
262144,25,2.900,6.021
262144,26,1.227,3.218
262144,27,14.164,5.374
262144,28,1.080,18.335
262144,29,0.977,2.681
262144,30,1.679,12.974
262144,31,2.095,4.704
262144,32,4.092,4.045
262144,33,2.704,6.776
262144,34,2.232,2.780
262144,35,1.165,2.675
262144,36,1.242,2.403
262144,37,1.155,3.175
262144,38,1.278,3.307
262144,39,2.126,3.623
262144,40,2.581,2.960
262144,41,1.181,3.145
262144,42,2.102,5.018
262144,43,2.579,3.285
262144,44,1.094,3.228
262144,45,0.997,3.033
262144,46,1.729,7.105
262144,47,1.925,4.662
262144,48,1.188,2.846
262144,49,1.731,7.520
262144,50,1.429,2.644
