Size,Repetition,AVL_Time_ms,Treap_Time_ms
1024,1,0.003288,0.002672
1024,2,0.000891,0.001109
1024,3,0.000762,0.000986
1024,4,0.001102,0.001064
1024,5,0.000324,0.001118
1024,6,0.000329,0.000632
1024,7,0.000328,0.001178
1024,8,0.000348,0.001457
1024,9,0.000351,0.000993
1024,10,0.000457,0.001065
1024,11,0.000466,0.000733
1024,12,0.000340,0.001007
1024,13,0.000426,0.001084
1024,14,0.000443,0.000681
1024,15,0.000340,0.000751
1024,16,0.000356,0.000642
1024,17,0.000350,0.001465
1024,18,0.000352,0.001163
1024,19,0.000334,0.000634
1024,20,0.000467,0.001278
1024,21,0.000517,0.000676
1024,22,0.000346,0.000644
1024,23,0.000422,0.000881
1024,24,0.000481,0.000676
1024,25,0.000434,0.001122
1024,26,0.000581,0.001060
1024,27,0.000419,0.001866
1024,28,0.000528,0.000936
1024,29,0.000345,0.000681
1024,30,0.000356,0.000793
1024,31,0.001047,0.000786
1024,32,0.000332,0.000718
1024,33,0.000341,0.000672
1024,34,0.000343,0.000718
1024,35,0.000346,0.000689
1024,36,0.000506,0.001286
1024,37,0.000538,0.001054
1024,38,0.000598,0.001239
1024,39,0.000348,0.000704
1024,40,0.000441,0.000798
1024,41,0.000436,0.000971
1024,42,0.000346,0.001109
1024,43,0.000341,0.000645
1024,44,0.000336,0.000680
1024,45,0.000332,0.000721
1024,46,0.000329,0.000624
1024,47,0.000346,0.000651
1024,48,0.000336,0.000664
1024,49,0.000343,0.001065
1024,50,0.000669,0.000665
2048,1,0.000632,0.001022
2048,2,0.000748,0.001485
2048,3,0.000485,0.000958
2048,4,0.000457,0.000932
2048,5,0.000455,0.001494
2048,6,0.000509,0.001053
2048,7,0.000548,0.000686
2048,8,0.000320,0.000707
2048,9,0.000343,0.000675
2048,10,0.000382,0.000695
2048,11,0.000341,0.000720
2048,12,0.000322,0.000773
2048,13,0.000341,0.000850
2048,14,0.000334,0.000712
2048,15,0.000335,0.001222
2048,16,0.000334,0.000715
2048,17,0.000352,0.000658
2048,18,0.000335,0.001121
2048,19,0.000327,0.000644
2048,20,0.000330,0.000689
2048,21,0.000321,0.001068
2048,22,0.000352,0.000657
2048,23,0.000319,0.000670
2048,24,0.000335,0.001098
2048,25,0.000320,0.000851
2048,26,0.000342,0.001109
2048,27,0.000353,0.001814
2048,28,0.000341,0.000888
2048,29,0.000386,0.001147
2048,30,0.000396,0.001243
2048,31,0.000349,0.000677
2048,32,0.000423,0.001191
2048,33,0.000414,0.001252
2048,34,0.000333,0.000685
2048,35,0.000372,0.000697
2048,36,0.000345,0.001410
2048,37,0.000337,0.000725
2048,38,0.000327,0.000827
2048,39,0.000328,0.001296
2048,40,0.000329,0.000710
2048,41,0.000324,0.000726
2048,42,0.000333,0.001236
2048,43,0.000354,0.000652
2048,44,0.000338,0.000675
2048,45,0.000333,0.001139
2048,46,0.000354,0.000694
2048,47,0.000339,0.000725
2048,48,0.000336,0.000703
2048,49,0.000356,0.000694
2048,50,0.000338,0.000715
4096,1,0.000410,0.000791
4096,2,0.000434,0.000836
4096,3,0.000406,0.000830
4096,4,0.000418,0.000792
4096,5,0.000417,0.000855
4096,6,0.000411,0.000768
4096,7,0.000424,0.000809
4096,8,0.000423,0.000842
4096,9,0.000420,0.000992
4096,10,0.000700,0.001221
4096,11,0.000696,0.000837
4096,12,0.000649,0.001283
4096,13,0.000418,0.000775
4096,14,0.000422,0.000830
4096,15,0.000431,0.000741
4096,16,0.000429,0.001231
4096,17,0.000650,0.000953
4096,18,0.000411,0.000753
4096,19,0.001131,0.000940
4096,20,0.000499,0.000798
4096,21,0.000456,0.000838
4096,22,0.000397,0.002261
4096,23,0.000397,0.000807
4096,24,0.000382,0.000720
4096,25,0.000358,0.001001
4096,26,0.000492,0.001101
4096,27,0.000398,0.000807
4096,28,0.000381,0.000737
4096,29,0.000373,0.000787
4096,30,0.000388,0.000887
4096,31,0.000390,0.000916
4096,32,0.000420,0.001009
4096,33,0.000365,0.000778
4096,34,0.000380,0.000808
4096,35,0.000542,0.000796
4096,36,0.000392,0.000826
4096,37,0.000373,0.000741
4096,38,0.000388,0.001195
4096,39,0.000382,0.000745
4096,40,0.000375,0.000938
4096,41,0.000379,0.001674
4096,42,0.000720,0.001114
4096,43,0.000372,0.001058
4096,44,0.000376,0.001859
4096,45,0.000376,0.000832
4096,46,0.000576,0.000773
4096,47,0.000396,0.000868
4096,48,0.000466,0.000827
4096,49,0.000364,0.001007
4096,50,0.000360,0.000801
8192,1,0.000501,0.000869
8192,2,0.000511,0.000901
8192,3,0.001262,0.000830
8192,4,0.000598,0.000843
8192,5,0.000438,0.000873
8192,6,0.000549,0.001267
8192,7,0.000470,0.002430
8192,8,0.000479,0.002156
8192,9,0.000475,0.002100
8192,10,0.000514,0.002089
8192,11,0.000753,0.001886
8192,12,0.000396,0.000891
8192,13,0.000435,0.000886
8192,14,0.000463,0.001355
8192,15,0.000419,0.000914
8192,16,0.000847,0.000890
8192,17,0.000555,0.000909
8192,18,0.000503,0.000935
8192,19,0.000426,0.000793
8192,20,0.000407,0.001713
8192,21,0.000447,0.000970
8192,22,0.000460,0.000908
8192,23,0.000396,0.000937
8192,24,0.000431,0.000887
8192,25,0.000421,0.000852
8192,26,0.000430,0.000821
8192,27,0.000468,0.001129
8192,28,0.001115,0.001770
8192,29,0.000426,0.000912
8192,30,0.000445,0.000928
8192,31,0.000434,0.000949
8192,32,0.000506,0.000976
8192,33,0.000445,0.000875
