Size,Repetition,AVL_Time_us,Treap_Time_us
1024,1,0.867,0.752
1024,2,0.219,0.235
1024,3,0.460,0.233
1024,4,0.179,0.164
1024,5,0.201,0.159
1024,6,0.202,0.163
1024,7,0.200,0.168
1024,8,0.256,0.166
1024,9,0.192,0.178
1024,10,0.258,0.240
1024,11,0.261,0.215
1024,12,0.185,0.694
1024,13,0.187,0.218
1024,14,0.199,0.160
1024,15,0.198,0.164
1024,16,0.204,0.162
1024,17,0.192,0.165
1024,18,0.198,0.171
1024,19,0.205,0.180
1024,20,0.262,0.274
1024,21,0.740,0.198
1024,22,0.191,0.434
1024,23,0.257,0.261
1024,24,0.330,0.218
1024,25,0.247,0.275
1024,26,0.284,0.212
1024,27,0.252,0.248
1024,28,0.283,0.194
1024,29,0.202,0.184
1024,30,0.208,0.208
1024,31,0.177,0.201
1024,32,0.191,0.162
1024,33,0.183,0.194
1024,34,0.279,0.162
1024,35,0.195,0.201
1024,36,0.212,0.232
1024,37,0.295,0.260
1024,38,0.194,0.175
1024,39,0.203,0.197
1024,40,0.274,0.239
1024,41,0.251,0.234
1024,42,0.191,0.228
1024,43,0.186,0.602
1024,44,0.200,0.209
1024,45,0.202,0.161
1024,46,0.242,0.188
1024,47,0.183,0.160
1024,48,0.201,0.200
1024,49,0.187,0.169
1024,50,0.259,0.188
2048,1,0.333,0.294
2048,2,0.225,0.193
2048,3,0.247,0.234
2048,4,0.226,0.237
2048,5,0.228,0.201
2048,6,0.241,0.194
2048,7,0.184,0.195
2048,8,0.196,0.175
2048,9,0.179,0.141
2048,10,0.190,0.185
2048,11,0.180,0.180
2048,12,0.182,0.150
2048,13,0.182,0.195
2048,14,0.599,0.197
2048,15,0.171,0.156
2048,16,0.264,0.203
2048,17,0.171,0.186
2048,18,0.179,0.156
2048,19,0.181,0.183
2048,20,0.163,0.195
2048,21,0.178,0.158
2048,22,0.170,0.189
2048,23,0.189,0.192
2048,24,0.182,0.157
2048,25,0.191,0.196
2048,26,0.177,0.194
2048,27,0.170,0.159
2048,28,0.176,0.196
2048,29,0.211,0.191
2048,30,0.222,0.160
2048,31,0.180,0.205
2048,32,0.257,0.199
2048,33,0.229,0.155
2048,34,0.172,0.190
2048,35,0.168,0.186
2048,36,0.171,0.151
2048,37,0.183,0.203
2048,38,0.263,0.192
2048,39,0.175,0.160
2048,40,0.170,0.198
2048,41,0.186,0.198
2048,42,0.177,0.167
2048,43,0.183,0.197
2048,44,0.168,0.219
2048,45,0.183,0.173
2048,46,0.178,0.202
2048,47,0.184,0.202
2048,48,0.169,0.171
2048,49,0.173,0.194
2048,50,0.178,0.184
4096,1,0.241,0.302
4096,2,0.252,0.288
4096,3,0.231,0.278
4096,4,0.237,0.208
4096,5,0.252,0.278
4096,6,0.234,0.244
4096,7,0.234,0.273
4096,8,0.239,0.326
4096,9,0.296,0.344
4096,10,0.359,0.404
4096,11,0.308,0.295
4096,12,0.355,0.409
4096,13,0.277,0.222
4096,14,0.252,0.285
4096,15,0.250,0.266
4096,16,0.240,0.422
4096,17,0.360,0.303
4096,18,0.266,0.361
4096,19,0.224,0.289
4096,20,0.241,0.215
4096,21,0.370,0.290
4096,22,0.200,0.175
4096,23,0.219,0.356
4096,24,0.192,0.184
4096,25,0.211,0.302
4096,26,0.351,0.250
4096,27,0.195,0.238
4096,28,0.209,0.211
4096,29,0.207,0.241
4096,30,0.197,0.219
4096,31,0.202,0.256
4096,32,0.239,0.225
4096,33,0.199,0.241
4096,34,0.221,0.247
4096,35,0.301,0.254
4096,36,0.194,0.258
4096,37,0.200,0.242
4096,38,0.245,0.266
4096,39,0.218,0.249
4096,40,0.203,0.295
4096,41,0.198,0.481
4096,42,0.218,0.259
4096,43,0.231,0.261
4096,44,0.197,0.249
4096,45,0.197,0.384
4096,46,0.217,0.247
4096,47,0.209,0.282
4096,48,0.180,0.261
4096,49,0.199,0.282
4096,50,0.199,0.255
8192,1,0.282,0.309
8192,2,0.280,0.288
8192,3,0.295,0.284
8192,4,0.301,0.287
8192,5,0.469,0.295
8192,6,0.282,0.294
8192,7,0.612,0.264
8192,8,0.294,0.279
8192,9,0.288,0.253
8192,10,0.287,0.252
8192,11,0.313,0.256
8192,12,0.353,0.202
8192,13,0.252,0.317
8192,14,0.250,0.330
8192,15,0.779,0.306
8192,16,0.248,0.288
8192,17,0.390,0.631
8192,18,0.276,0.285
8192,19,0.273,0.248
8192,20,0.424,0.228
8192,21,0.248,0.227
8192,22,0.256,0.309
8192,23,0.208,0.329
8192,24,0.237,0.301
8192,25,0.230,0.279
8192,26,0.238,0.268
8192,27,0.239,0.279
8192,28,0.229,0.223
8192,29,0.226,0.235
8192,30,0.236,0.315
8192,31,0.235,0.335
8192,32,0.255,0.314
8192,33,0.273,0.303
8192,34,0.230,0.545
8192,35,0.231,0.293
8192,36,0.253,0.247
8192,37,0.252,0.472
8192,38,0.275,0.294
8192,39,0.363,0.379
8192,40,0.247,0.414
8192,41,0.235,0.326
8192,42,0.224,0.285
8192,43,0.228,0.276
8192,44,0.237,0.250
8192,45,0.228,0.251
8192,46,0.244,0.239
8192,47,0.248,0.237
8192,48,0.341,0.252
8192,49,0.250,0.329
8192,50,0.216,0.341
16384,1,0.388,0.359
16384,2,0.323,0.338
16384,3,0.319,0.323
16384,4,0.316,0.324
16384,5,0.351,0.398
16384,6,0.310,0.370
16384,7,0.287,0.355
16384,8,0.272,0.294
16384,9,0.277,0.351
16384,10,0.360,0.308
16384,11,0.376,0.277
16384,12,0.277,0.350
16384,13,0.284,0.526
16384,14,0.686,1.119
16384,15,1.287,0.677
16384,16,0.280,0.366
16384,17,0.283,0.278
16384,18,0.286,0.334
